record_id,unit_key,dataset_id,reporting_year,operating_time,gross_load,steam_load,heat_input,co2_mass,so2_mass,nox_mass,so2_control,nox_control,pm_control,program_code
127,26,1,2025,NULL,1881060,NULL,16863300,1729080,919.103,2769.28,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
128,26,1,2026,NULL,1016540,NULL,9231430,944939,186.427,1721.92,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
129,27,1,2022,NULL,2253930,NULL,21385000,2190500,706.878,711.217,"Wet Limestone","Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator|Wet Scrubber","ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
130,27,1,2023,NULL,2517510,NULL,24037100,2462560,828.402,963.318,"Wet Limestone","Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator|Wet Scrubber","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
131,27,1,2024,NULL,1877440,NULL,18120500,1853620,1045.65,646.866,"Wet Limestone","Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator|Wet Scrubber","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
132,27,1,2025,NULL,2870950,NULL,27302000,2795710,1882.56,1378.23,"Wet Limestone","Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator|Wet Scrubber","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
133,27,1,2026,NULL,973680,NULL,9570700,979225,586.872,618.806,"Wet Limestone","Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator|Wet Scrubber","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
134,28,1,2022,NULL,2573050,NULL,24968400,2557890,1147.97,836.698,"Wet Limestone","Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator|Wet Scrubber","ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
135,28,1,2023,NULL,2760780,NULL,26251400,2688820,1201.28,939.86,"Wet Limestone","Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator|Wet Scrubber","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
136,28,1,2024,NULL,2985360,NULL,28615700,2931420,2075.82,945.583,"Wet Limestone","Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator|Wet Scrubber","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
